"common","my_dom_id","dtrip","se","cv","mode_fx","cnty","dom_id"
"GAG","5.101.1",20872.438002383,12667.6967065312,0.606910256726356,5,101,1
"RED GROUPER","5.101.1",12118.87880414,8391.8540060184,0.692461253358818,5,101,1
"GAG","5.103.1",271461.807732301,35666.4082470451,0.131386468487004,5,103,1
"RED GROUPER","5.103.1",536382.094078316,51898.9629935012,0.096757448778526,5,103,1
"GAG","5.115.1",118941.409829931,40642.7606185971,0.341704042996551,5,115,1
"RED GROUPER","5.115.1",221410.560213267,48102.4358667483,0.217254478830707,5,115,1
"GAG","5.123.1",2383.032344925,2172.19787175215,0.911526810107362,5,123,1
"RED GROUPER","5.123.1",2160.79993266,2160.79993266,1,5,123,1
"GAG","5.129.1",5647.33414648,3362.00427081,0.595325897778786,5,129,1
"RED GROUPER","5.129.1",3287.35136895,1114.70029011,0.339087662073082,5,129,1
"GAG","5.15.1",591.03819266,591.03819266,1,5,15,1
"RED GROUPER","5.15.1",23010.032252453,8487.81560204584,0.368874563447906,5,15,1
"GAG","5.17.1",128155.322561363,27351.4406996161,0.213424149328794,5,17,1
"RED GROUPER","5.17.1",57007.534996349,15986.0631444804,0.280420178586993,5,17,1
"GAG","5.21.1",14430.53405486,5176.08875340512,0.358690034182199,5,21,1
"RED GROUPER","5.21.1",152931.998902382,35302.992421366,0.230841110263001,5,21,1
"GAG","5.33.1",14178.02375704,5588.25564467844,0.394149124055716,5,33,1
"GAG","5.37.1",14248.892317639,4251.06542326546,0.298343571451023,5,37,1
"RED GROUPER","5.37.1",35943.679055565,19744.4451558355,0.549316198970972,5,37,1
"GAG","5.45.1",8927.2738026,8927.2738026,1,5,45,1
"RED GROUPER","5.45.1",8927.2738026,8927.2738026,1,5,45,1
"GAG","5.5.1",203530.614812824,86219.5013600543,0.423619323507403,5,5,1
"RED GROUPER","5.5.1",91083.9815711523,39680.9246119549,0.435652064473678,5,5,1
"GAG","5.53.1",9606.457624864,4312.17517474157,0.448882964265678,5,53,1
"RED GROUPER","5.53.1",1909.62564674,1350.70221807607,0.707312566932638,5,53,1
"RED GROUPER","5.57.1",5579.820416,5579.820416,1,5,57,1
"GAG","5.71.1",53795.389923706,6415.42575907438,0.119256050902743,5,71,1
"RED GROUPER","5.71.1",109240.747649238,17798.7096215383,0.162931049123614,5,71,1
"GAG","5.75.1",71.249491265,0,0,5,75,1
"RED GROUPER","5.75.1",87.946885551,87.946885551,1,5,75,1
"GAG","5.81.1",30390.74121772,12742.5625503238,0.419290943219705,5,81,1
"RED GROUPER","5.81.1",86830.799024625,21383.9304022531,0.246271261377989,5,81,1
"GAG","5.87.1",4569.754570979,1888.13094196375,0.413179944926286,5,87,1
"RED GROUPER","5.87.1",88691.9886357468,17562.335066074,0.198014897807755,5,87,1
"GAG","5.91.1",126503.748668604,31910.9252970715,0.252252803833245,5,91,1
"RED GROUPER","5.91.1",55514.006612926,22420.3252321471,0.403867899293845,5,91,1
"GAG","7.101.1",296493.37908969,83505.1413748063,0.281642516373176,7,101,1
"RED GROUPER","7.101.1",229917.7980851,66854.8690988661,0.290777267595965,7,101,1
"GAG","7.103.1",577568.63558984,83049.9283660168,0.143792310122939,7,103,1
"RED GROUPER","7.103.1",1214941.13013073,164262.437611238,0.135201972784939,7,103,1
"GAG","7.113.1",4983.81097913,2656.47201436994,0.533020217960528,7,113,1
"GAG","7.115.1",258726.21769808,65400.6113287079,0.252779219325298,7,115,1
"RED GROUPER","7.115.1",583592.51394835,111323.300451634,0.190755189264623,7,115,1
"GAG","7.123.1",211177.41856147,67634.547648362,0.320273579008045,7,123,1
"RED GROUPER","7.123.1",114869.38450758,52189.4343630227,0.454337198608206,7,123,1
"GAG","7.129.1",193970.5112013,78022.8201144474,0.402240627357405,7,129,1
"RED GROUPER","7.129.1",138752.58586151,66223.4609639896,0.477277310205143,7,129,1
"GAG","7.15.1",59717.31732428,35196.8625661362,0.589391220891729,7,15,1
"RED GROUPER","7.15.1",291041.44128598,86896.0134054266,0.298569210698905,7,15,1
"GAG","7.17.1",457752.23995401,89885.8452044631,0.196363528911391,7,17,1
"RED GROUPER","7.17.1",146728.33244374,54618.2867315954,0.372240901412395,7,17,1
"GAG","7.21.1",11927.28011492,6492.63422783139,0.544351617910747,7,21,1
"RED GROUPER","7.21.1",80703.81068836,17014.0562885889,0.210820977887763,7,21,1
"GAG","7.29.1",81381.75164495,36967.8391461809,0.454252192892863,7,29,1
"RED GROUPER","7.29.1",88219.9227639,57259.5834206514,0.649055016448986,7,29,1
"GAG","7.33.1",28088.4991023,10480.0688454536,0.37310889440139,7,33,1
"RED GROUPER","7.33.1",1992.95988703,1544.92617730251,0.77519180760072,7,33,1
"GAG","7.37.1",1173420.96054506,316916.322413623,0.270078968306833,7,37,1
"RED GROUPER","7.37.1",978230.73774612,296607.860006398,0.303208485034721,7,37,1
"GAG","7.45.1",55862.14856816,34657.782483302,0.620416209752734,7,45,1
