Florida Fish And Wildlife Conservation Commission,,,,,,
Commercial Landings Summary,,,,,,
Years: 1985 - 2026,,,,,,
Species: ALL FOOD AND BAIT,,,,,,
Subject to Revision,,,,,,
Years before 2025 are final,,,,,,
"Report created: July 13, 2026",,,,,,
,,,,,,
,,,,,,
Year,County Landed,Species,Pounds,Trips,Average Price,Estimated Value
1985,BAY,AMBERJACKS,68882,388,0.22,15234
1985,BAY,BAIT FISH,190888,27,0.15,28626
1985,BAY,BLUE RUNNER,315327,212,0.15,47299
1985,BAY,BLUEFISH,109114,265,0.17,18549
1985,BAY,CATFISH,227,5,0.39,89
1985,BAY,COBIA,941,20,0.8,750
1985,BAY,CROAKER,5152,59,0.39,2009
1985,BAY,DOLPHIN,7106,21,0.78,5507
1985,BAY,"DRUM, BLACK",1189,47,0.25,298
1985,BAY,"DRUM, RED (REDFISH)",11190,156,0.64,7166
1985,BAY,FLOUNDERS,4435,163,1.13,5012
1985,BAY,"GROUPER, BLACK",181829,446,1.43,260427
1985,BAY,"GROUPER, GAG",212479,484,1.35,286307
1985,BAY,"GROUPER, NASSAU",28,2,1.53,43
1985,BAY,"GROUPER, RED",112058,67,1.17,131050
1985,BAY,"GROUPER, SCAMP",26630,360,1.5,39945
1985,BAY,"GROUPER, WARSAW",15785,58,0.71,11237
1985,BAY,"GROUPER, YELLOWEDGE",67680,43,1.31,88902
1985,BAY,"GROUPER, YELLOWFIN",40814,19,1.27,51882
1985,BAY,"HERRING, THREAD",47010,3,0.24,11282
1985,BAY,"JACK, CREVALLE",58628,8,0.13,7622
1985,BAY,"JACK, MIXED",249695,81,0.2,49939
1985,BAY,"JACK, OTHER",2,1,0.14,1
1985,BAY,KINGFISH (WHITING),612,11,0.43,263
1985,BAY,LADYFISH,1019238,250,0.2,203848
1985,BAY,"MACKEREL, KING",1583,39,1.09,1718
1985,BAY,"MACKEREL, SPANISH",56457,188,0.29,16418
1985,BAY,"MARLIN, BLUE",790,2,0.54,430
1985,BAY,"MARLIN, WHITE",1875,17,0.46,870
1985,BAY,MENHADEN,271400,50,0.15,40710
1985,BAY,MISC. FOOD FISH,62907,172,0.3,18872
1985,BAY,MISC. INDUSTRIAL FISH,215158,28,0.3,64547
1985,BAY,MOJARRA,281,10,0.33,93
1985,BAY,"MULLET, BLACK",732650,715,0.29,210790
1985,BAY,"MULLET, SILVER",52120,76,0.3,15636
1985,BAY,POMPANO,7581,275,3.25,24619
1985,BAY,PORGIES,14660,196,0.69,10169
1985,BAY,"SARDINES, SPANISH",309477,131,0.09,27853
1985,BAY,"SCAD, BIGEYE (GOGGLE EYE)",987,4,0.35,345
1985,BAY,"SCAD, ROUND (CIGARFISH)",238322,182,,0
1985,BAY,"SEATROUT, SAND",729,8,0.66,481
1985,BAY,"SEATROUT, SILVER",410,1,0.25,103
1985,BAY,"SEATROUT, SPOTTED",65983,764,0.96,63334
1985,BAY,"SEATROUT, WEAKFISH",284,21,0.65,185
1985,BAY,SHARK,8740,57,0.28,2427
1985,BAY,SHARK FINS,20,1,3.8,76
1985,BAY,SHEEPSHEAD,3613,80,0.49,1770
1985,BAY,"SNAPPER, GREY (MANGROVE)",6348,169,1.18,7492
1985,BAY,"SNAPPER, LANE",43,1,0.68,30
1985,BAY,"SNAPPER, MIXED",4,1,1.59,7
1985,BAY,"SNAPPER, MUTTON",1651,51,1.45,2394
1985,BAY,"SNAPPER, OTHER",3659,33,1.2,4384
1985,BAY,"SNAPPER, RED",268417,748,2.1,563434
1985,BAY,"SNAPPER, SILK",1277,19,1.58,2013
1985,BAY,"SNAPPER, VERMILION",76169,129,1.3,98814
1985,BAY,"SNAPPER, YELLOWTAIL",402,7,1.42,572
1985,BAY,SPOT,230,9,0.4,92
1985,BAY,SWORDFISH,21620,31,2.92,63054
1985,BAY,TILAPIA (NILE PERCH),445,3,0.7,312
1985,BAY,TILEFISH (GOLDEN),3443,30,1.15,3965
1985,BAY,"TILEFISH, BLUELINE (GRAY)",337,4,0.71,238
1985,BAY,TRIGGERFISH,4899,114,0.64,3156
1985,BAY,"TUNA, BIGEYE",986,5,,0
1985,BAY,"TUNA, BLACKFIN",119,2,0.78,92
1985,BAY,"TUNA, BLUEFIN",5781,5,0.4,2313
1985,BAY,"TUNA, SKIPJACK",625,1,0.1,60
1985,BAY,"TUNA, YELLOWFIN",152058,30,1.35,205582
1985,BAY,"TUNNY, LITTLE (BONITO)",1672,17,0.15,251
1985,BAY,WAHOO,633,10,0.95,603
1985,BAY,"CRAB, BLUE (HARD)",411942,1173,0.35,144180
1985,BAY,"CRAB, BLUE (SOFT)",1105,38,,0
1985,BAY,"CRAB, STONE, LARGE CLAWS",6,1,4.57,27
1985,BAY,"CRAB, STONE, MEDIUM CLAWS",42,2,3.64,153
1985,BAY,"LOBSTER, SPINY",24,1,2.39,57
1985,BAY,MISC. INVERTEBRATES,58,2,,0
1985,BAY,OCTOPUS,176,1,0.6,106
1985,BAY,OYSTERS,92250,1087,1.12,103383
1985,BAY,"SCALLOPS, BAY",345,9,,0
1985,BAY,SQUID,1361,45,0.38,517
1985,BAY,"SHRIMP, BROWN",48542,242,1.96,95312
1985,BAY,"SHRIMP, OTHER",130624,54,0.06,7862
1985,BAY,"SHRIMP, PINK",124686,939,1.72,214460
1985,BAY,"SHRIMP, ROCK",8715,15,0.6,5224
1985,BAY,"SHRIMP, WHITE",86637,83,2.4,207985
1985,BAY,"SHRIMP, BAIT",293,3,1.5,440
1985,BREVARD,AMBERJACKS,9076,89,0.22,2007
1985,BREVARD,BAIT FISH,6549,37,0.14,925
1985,BREVARD,BALLYHOO,967,4,0.07,68
1985,BREVARD,BLUE RUNNER,1220,55,0.16,192
1985,BREVARD,BLUEFISH,78218,1486,0.17,13329
1985,BREVARD,CATFISH,1073,29,0.39,418
1985,BREVARD,COBIA,1299,51,0.78,1012
1985,BREVARD,CROAKER,22799,188,0.39,8895
1985,BREVARD,DOLPHIN,2398,59,0.78,1858
1985,BREVARD,"DRUM, BLACK",3946,296,0.24,963
1985,BREVARD,"DRUM, RED (REDFISH)",2464,374,0.63,1556
1985,BREVARD,EELS,16,1,0.35,6
1985,BREVARD,FLOUNDERS,21774,508,1.13,24597
1985,BREVARD,GOATFISHES,484,49,1,484
1985,BREVARD,"GROUPER, BLACK",4843,62,1.43,6936
